_date,total_clones,unique_clones
2022-03-04,1,1
2022-03-13,1,1
2022-03-16,35,10
2022-03-21,2,2
2022-03-23,2,1
2022-03-28,1,1
2022-04-03,1,1
2022-04-04,2,2
2022-04-11,1,1
2022-04-18,2,2
2022-04-25,2,2
2022-05-02,3,3
2022-05-09,2,2
2022-05-16,2,2
2022-05-21,2,1
2022-05-22,1,1
2022-05-23,2,2
2022-05-30,4,4
2022-06-02,2,1
2022-06-06,3,3
2022-06-13,4,3
2022-06-17,2,1
2022-06-20,3,3
2022-06-25,1,1
2022-06-26,4,2
2022-06-27,3,3
2022-07-04,3,3
2022-07-05,3,2
2022-07-09,1,1
2022-07-11,3,3
2022-07-13,2,1
2022-07-18,3,3
2022-07-20,2,1
2022-07-22,2,1
2022-07-24,1,1
2022-07-25,1,1
2022-07-31,2,1
2022-08-01,2,2
2022-08-02,1,1
2022-08-08,5,4
2022-08-09,2,1
2022-08-12,7,5
2022-08-15,2,2
2022-08-19,2,1
2022-08-22,1,1
2022-08-29,1,1
2022-08-30,2,1
2022-09-05,1,1
2022-09-12,2,2
2022-09-13,2,1
2022-09-19,3,3
2022-09-21,1,1
2022-09-24,1,1
2022-09-26,2,2
2022-10-03,2,2
2022-10-04,1,1
2022-10-10,2,2
2022-10-14,1,1
2022-10-16,1,1
2022-10-17,1,1
2022-10-22,2,2
2022-10-24,1,1
2022-10-25,2,1
2022-10-28,1,1
2022-10-31,2,2
2022-11-05,1,1
2022-11-07,2,2
2022-11-11,1,1
2022-11-13,2,1
2022-11-14,1,1
2022-11-18,2,2
2022-11-21,1,1
2022-11-25,1,1
2022-11-28,1,1
2022-11-29,1,1
2022-12-01,1,1
2022-12-02,1,1
2022-12-05,1,1
2022-12-07,2,1
2022-12-09,1,1
2022-12-12,2,2
2022-12-13,1,1
2022-12-16,1,1
2022-12-18,1,1
2022-12-19,1,1
2022-12-24,1,1
2022-12-26,2,2
2022-12-27,1,1
2023-01-01,1,1
2023-01-02,1,1
2023-01-03,6,3
2023-01-04,3,2
2023-01-08,2,2
